"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",24,13000000,200,"ほぼ正方形",11,120,"1982年","木造","住宅","","東","市道",6,"２種住居",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",15,31000000,220,"不整形",21.5,115,"2011年","木造","住宅","","南西","市道",6,"１種住居",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",7,28000000,130,"台形",14,100,"2012年","木造","住宅","","南西","市道",4,"１種住居",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",15,28000000,170,"ほぼ正方形",12.5,115,"2012年","木造","住宅","","北東","市道",6,"１種住居",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",14,7800000,165,"ほぼ長方形",14.5,140,"1995年","木造","住宅","","北","道路",4,"１種住居",60,200,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",12,28000000,180,"ほぼ整形",6,115,"2011年","木造","住宅","","東","道路",6,"１種住居",60,200,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",15,32000000,185,"ほぼ長方形",12.5,125,"2012年","木造","住宅","","南東","市道",6,"１種住居",60,200,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",19,28000000,170,"長方形",14,110,"2011年","木造","住宅","","北東","道路",4,"１種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","長町","長町一丁目",4,35000000,125,"ほぼ長方形",8,105,"2011年","木造","住宅","","西","市道",5,"商業",80,400,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","長町","長町一丁目",4,65000000,590,"不整形",12,740,"1975年","ＲＣ","共同住宅、事務所、店舗","","北西","市道",21,"商業",80,400,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","長町","長町一丁目",2,53000000,185,"ほぼ長方形",8,810,"1995年","鉄骨造","その他","","南西","市道",20,"商業",80,400,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","長町南","太子堂",4,36000000,165,"ほぼ長方形",10.9,100,"2011年","木造","住宅","","南東","市道",4,"商業",80,400,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","長町南","太子堂",6,36000000,165,"長方形",11,105,"2011年","木造","住宅","","南東","市道",4,"工業","","","2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","長町南","長町南",5,15000000,165,"ほぼ台形",14,145,"1994年","木造","住宅、店舗","","西","市道",6,"２中住専",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西多賀","富沢",23,24000000,180,"長方形",11,130,"1995年","木造","住宅","","南","道路",4,"１種住居",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",7,27000000,135,"長方形",9.5,100,"2012年","木造","住宅","","東","市道",4,"工業",60,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",5,20000000,430,"ほぼ台形",24.4,70,"1970年","木造","住宅","","北西","私道",4.5,"１種住居",60,200,"2011年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",6,20000000,330,"ほぼ長方形",16.2,200,"1991年","木造","住宅","","南","私道",4,"１種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",15,37000000,165,"長方形",11,115,"2011年","木造","住宅","","南","市道",16,"１種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",7,25000000,390,"ほぼ長方形",22,"","","","","","東","市道",4,"工業",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西の平","長町南","30分～60分",6300000,110,"ほぼ長方形",11,85,"1980年","木造","住宅","","東","市道",4.5,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","日本平","富沢","1H～1H30",9900000,195,"長方形",14,65,"1970年","木造、軽量鉄骨造","住宅","","北西","市道",4.3,"１低住専",50,80,"2011年第4四半期",""
